
elapsed_time_ms,position_rad,velocity_rad_per_sec,home,photocell,
5246,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5247,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5248,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5249,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5250,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5251,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5252,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5253,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5254,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5255,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5256,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5257,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5258,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5259,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5260,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5261,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5262,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5263,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5264,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5265,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5266,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5267,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5268,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5269,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5270,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5271,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5272,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5273,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5274,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5275,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5276,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5277,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5278,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5279,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5280,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5281,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5282,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
